Player,Spotrac_ID,Team,Salary
Pau Gasol,http://www.spotrac.com/redirect/player/2518/,SAS,15500000
Tony Parker,http://www.spotrac.com/redirect/player/2710/,SAS,14445313
Manu Ginobili,http://www.spotrac.com/redirect/player/2705/,SAS,14000000
Danny Green,http://www.spotrac.com/redirect/player/6277/,SAS,10000000
Patrick Mills,http://www.spotrac.com/redirect/player/6322/,SAS,3578948
Dewayne Dedmon,http://www.spotrac.com/redirect/player/13536/,SAS,2898000
David Lee,http://www.spotrac.com/redirect/player/2623/,SAS,1551659
Kyle Anderson,http://www.spotrac.com/redirect/player/15382/,SAS,1192080
Dejounte Murray,http://www.spotrac.com/redirect/player/20234/,SAS,1180080
Jonathon Simmons,http://www.spotrac.com/redirect/player/17983/,SAS,874636
Davis Bertans,http://www.spotrac.com/redirect/player/8094/,SAS,543471
Bryn Forbes,http://www.spotrac.com/redirect/player/20796/,SAS,543471
Joel Anthony,http://www.spotrac.com/redirect/player/2543/,SAS,346034
Russell Westbrook,http://www.spotrac.com/redirect/player/6141/,OKC,26540100
Enes Kanter,http://www.spotrac.com/redirect/player/8053/,OKC,17145838
Taj Gibson,http://www.spotrac.com/redirect/player/6278/,OKC,8950000
Victor Oladipo,http://www.spotrac.com/redirect/player/13315/,OKC,6552960
Alex Abrines,http://www.spotrac.com/redirect/player/13345/,OKC,5994764
Kyle Singler,http://www.spotrac.com/redirect/player/8085/,OKC,4837500
Nick Collison,http://www.spotrac.com/redirect/player/2715/,OKC,3750000
Steven Adams,http://www.spotrac.com/redirect/player/13325/,OKC,3140517
Doug McDermott,http://www.spotrac.com/redirect/player/15363/,OKC,2483040
Domantas Sabonis,http://www.spotrac.com/redirect/player/20216/,OKC,2440200
Andre Roberson,http://www.spotrac.com/redirect/player/13339/,OKC,2183072
Josh Huestis,http://www.spotrac.com/redirect/player/15381/,OKC,1191480
Jerami Grant,http://www.spotrac.com/redirect/player/15391/,OKC,980431
Semaj Christon,http://www.spotrac.com/redirect/player/15407/,OKC,543471
Norris Cole,http://www.spotrac.com/redirect/player/8079/,OKC,247991
Chris Bosh,http://www.spotrac.com/redirect/player/2732/,MIA,23741060
Hassan Whiteside,http://www.spotrac.com/redirect/player/6915/,MIA,22116750
Goran Dragic,http://www.spotrac.com/redirect/player/6146/,MIA,15891725
Wayne Ellington,http://www.spotrac.com/redirect/player/6302/,MIA,6000000
Josh McRoberts,http://www.spotrac.com/redirect/player/2678/,MIA,5782450
Tyler Johnson,http://www.spotrac.com/redirect/player/15645/,MIA,5628000
Udonis Haslem,http://www.spotrac.com/redirect/player/2549/,MIA,4000000
James Johnson,http://www.spotrac.com/redirect/player/6279/,MIA,4000000
Dion Waiters,http://www.spotrac.com/redirect/player/10812/,MIA,2898000
Justise Winslow,http://www.spotrac.com/redirect/player/17838/,MIA,2593440
Luke Babbitt,http://www.spotrac.com/redirect/player/6898/,MIA,1227286
Willie Reed,http://www.spotrac.com/redirect/player/11665/,MIA,1015696
Josh Richardson,http://www.spotrac.com/redirect/player/17868/,MIA,874636
Rodney McGruder,http://www.spotrac.com/redirect/player/13575/,MIA,543471
Okaro White,http://www.spotrac.com/redirect/player/20798/,MIA,210995
Al Horford,http://www.spotrac.com/redirect/player/2199/,BOS,26540100
