Player,Spotrac_ID,Team,Salary,Signed_Using,Trade_Kicker,Can_Block
Rudy Gobert,http://www.spotrac.com/redirect/player/13340/,UTA,23491573,Bird,,
Ricky Rubio,http://www.spotrac.com/redirect/player/6305/,UTA,14975000,Bird,,
Joe Ingles,http://www.spotrac.com/redirect/player/15852/,UTA,13045455,Bird,,
Alec Burks,http://www.spotrac.com/redirect/player/8063/,UTA,11536515,Bird,,
Jae Crowder,http://www.spotrac.com/redirect/player/10859/,UTA,7305825,Bird,,
Thabo Sefolosha,http://www.spotrac.com/redirect/player/2250/,UTA,5250000,Cap Space,,
Jonas Jerebko,http://www.spotrac.com/redirect/player/6285/,UTA,4200000,Cap Space,,
Ekpe Udoh,http://www.spotrac.com/redirect/player/8222/,UTA,3360000,Room,,
Donovan Mitchell,http://www.spotrac.com/redirect/player/23608/,UTA,3111480,Rookie,,
Tony Bradley,http://www.spotrac.com/redirect/player/23623/,UTA,1679520,Rookie,,
Royce O'Neale,http://www.spotrac.com/redirect/player/24240/,UTA,1378242,Cap Space,,
Gordon Hayward,http://www.spotrac.com/redirect/player/6891/,BOS,31214295,Cap Space,True,
Al Horford,http://www.spotrac.com/redirect/player/2199/,BOS,28928709,Cap Space,True,
Kyrie Irving,http://www.spotrac.com/redirect/player/8051/,BOS,20099188,Bird,True,
Jayson Tatum,http://www.spotrac.com/redirect/player/23598/,BOS,6700800,Rookie,,
Marcus Morris,http://www.spotrac.com/redirect/player/8065/,BOS,5375000,Bird,,
Jaylen Brown,http://www.spotrac.com/redirect/player/20208/,BOS,5169960,Rookie,,
Terry Rozier,http://www.spotrac.com/redirect/player/17844/,BOS,3050390,Rookie,,
Guerschon Yabusele,http://www.spotrac.com/redirect/player/20221/,BOS,2667600,Rookie,,
Abdel Nader,http://www.spotrac.com/redirect/player/20264/,BOS,1378242,Cap Space,,
Semi Ojeleye,http://www.spotrac.com/redirect/player/23632/,BOS,1378242,Cap Space,,
Daniel Theis,http://www.spotrac.com/redirect/player/23828/,BOS,1378242,Minimum,,
DeAndre Jordan,http://www.spotrac.com/redirect/player/6117/,LAC,24119025,Bird,True,
Danilo Gallinari,http://www.spotrac.com/redirect/player/6138/,LAC,21587579,Bird,,
Tobias Harris,http://www.spotrac.com/redirect/player/8070/,LAC,14800000,Bird,,
Austin Rivers,http://www.spotrac.com/redirect/player/10818/,LAC,12650000,Early Bird,,
Louis Williams,http://www.spotrac.com/redirect/player/2657/,LAC,8000000,Bird,,
Boban Marjanovic,http://www.spotrac.com/redirect/player/17984/,LAC,7000000,Cap Space,,
Milos Teodosic,http://www.spotrac.com/redirect/player/24094/,LAC,6300000,MLE,True,
Wesley Johnson,http://www.spotrac.com/redirect/player/6885/,LAC,6134520,MLE,,
Patrick Beverley,http://www.spotrac.com/redirect/player/6297/,LAC,5027027,Bird,,
Sam Dekker,http://www.spotrac.com/redirect/player/17846/,LAC,2760095,Rookie,,
Jawun Evans,http://www.spotrac.com/redirect/player/23634/,LAC,1378242,MLE,,
Sindarius Thornwell,http://www.spotrac.com/redirect/player/23649/,LAC,1378242,MLE,,
C.J. Williams,http://www.spotrac.com/redirect/player/21071/,LAC,1378242,MLE,,
Sean Kilpatrick,http://www.spotrac.com/redirect/player/15922/,LAC,-,MLE,,
Otto Porter Jr.,http://www.spotrac.com/redirect/player/13316/,WAS,26011913,Cap Space,True,
Bradley Beal,http://www.spotrac.com/redirect/player/10811/,WAS,25434263,Bird,,
John Wall,http://www.spotrac.com/redirect/player/6882/,WAS,19169800,Bird,True,
Ian Mahinmi,http://www.spotrac.com/redirect/player/2708/,WAS,15944154,Cap Space,,
Marcin Gortat,http://www.spotrac.com/redirect/player/2639/,WAS,13565218,Bird,,
Markieff Morris,http://www.spotrac.com/redirect/player/8064/,WAS,8600000,Bird,,
Jason Smith,http://www.spotrac.com/redirect/player/2656/,WAS,5450000,Cap Space,,
Jodie Meeks,http://www.spotrac.com/redirect/player/6300/,WAS,3454500,Mini MLE,,
Kelly Oubre,http://www.spotrac.com/redirect/player/17843/,WAS,3208630,Rookie,,
Tomas Satoransky,http://www.spotrac.com/redirect/player/10857/,WAS,3129187,Cap Space,,
Harrison Barnes,http://www.spotrac.com/redirect/player/10815/,DAL,24107258,Cap Space,True,
Wesley Matthews,http://www.spotrac.com/redirect/player/6489/,DAL,18622513,Cap Space,,
Dwight Powell,http://www.spotrac.com/redirect/player/15397/,DAL,9631250,Cap Space,,
Dirk Nowitzki,http://www.spotrac.com/redirect/player/2279/,DAL,5000000,Bird,,
Dennis Smith Jr.,http://www.spotrac.com/redirect/player/23604/,DAL,3819960,Rookie,,
Jose Barea,http://www.spotrac.com/redirect/player/2269/,DAL,3710850,Cap Space,,
Dorian Finney-Smith,http://www.spotrac.com/redirect/player/20757/,DAL,1544951,Cap Space,,
Kyle Collinsworth,http://www.spotrac.com/redirect/player/20895/,DAL,1378242,Cap Space,,
Maxi Kleber,http://www.spotrac.com/redirect/player/24212/,DAL,1378242,Minimum,,
LeBron James,http://www.spotrac.com/redirect/player/2257/,CLE,35607969,Early Bird,,
Kevin Love,http://www.spotrac.com/redirect/player/6132/,CLE,24119025,Bird,,
George Hill,http://www.spotrac.com/redirect/player/6154/,CLE,19000000,Cap Space,,
Tristan Thompson,http://www.spotrac.com/redirect/player/8054/,CLE,17469565,Bird,,
J.R. Smith,http://www.spotrac.com/redirect/player/2296/,CLE,14720000,Bird,,
Jordan Clarkson,http://www.spotrac.com/redirect/player/15398/,CLE,12500000,Early Bird,,
Kyle Korver,http://www.spotrac.com/redirect/player/2752/,CLE,7560000,Bird,,
Cedi Osman,http://www.spotrac.com/redirect/player/17859/,CLE,2775000,Mini MLE,,
Larry Nance Jr.,http://www.spotrac.com/redirect/player/17855/,CLE,2272391,Rookie,,
Ante Zizic,http://www.spotrac.com/redirect/player/20228/,CLE,1952760,Rookie,,
Okaro White,http://www.spotrac.com/redirect/player/20798/,CLE,1544951,Minimum,,
Joel Embiid,http://www.spotrac.com/redirect/player/15355/,PHI,25250000,Bird,,
Robert Covington,http://www.spotrac.com/redirect/player/13379/,PHI,10464092,Cap Space,,
Jerryd Bayless,http://www.spotrac.com/redirect/player/6150/,PHI,8575916,Cap Space,,
Markelle Fultz,http://www.spotrac.com/redirect/player/23596/,PHI,8339880,Rookie,,
Ben Simmons,http://www.spotrac.com/redirect/player/20206/,PHI,6434520,Rookie,,
Dario Saric,http://www.spotrac.com/redirect/player/15364/,PHI,2526840,Rookie,,
Justin Anderson,http://www.spotrac.com/redirect/player/17849/,PHI,2516048,Rookie,,
Furkan Korkmaz,http://www.spotrac.com/redirect/player/20231/,PHI,1740000,Rookie,,
Richaun Holmes,http://www.spotrac.com/redirect/player/17865/,PHI,1600520,Cap Space,,
T.J. McConnell,http://www.spotrac.com/redirect/player/18252/,PHI,1600520,Minimum,,
Timothe Luwawu-Cabarrot,http://www.spotrac.com/redirect/player/20229/,PHI,1446360,Rookie,,
