Player,Pos,Spotrac_ID,Team,Trans_Date,Trans
Greg Monroe, C,http://www.spotrac.com/redirect/player/6889/,MIL,Nov 7 2017,Traded to Phoenix (PHX) from Milwaukee (MIL)  with 2018 1st round pick [lottery-protected conditional]  and 2018 2nd round pick [top-47 protected]  for  Eric Bledsoe
Rashad Vaughn, SG,http://www.spotrac.com/redirect/player/17845/,MIL,Oct 31 2017,Milwaukee (MIL) declined $2.9 million option for 2018-2019				
Rashad Vaughn, SG,http://www.spotrac.com/redirect/player/17845/,MIL,Oct 31 2017,Milwaukee (MIL) exercised $2.9 million option for 2017-2018				
Thon Maker, PF,http://www.spotrac.com/redirect/player/20215/,MIL,Oct 31 2017,Milwaukee (MIL) exercised $2.8 million option for 2018-19				
DeAndre Liggins, SG,http://www.spotrac.com/redirect/player/8105/,MIL,Oct 16 2017,Claimed off waivers by Milwaukee (MIL)				
Joel Anthony, C,http://www.spotrac.com/redirect/player/2543/,MIL,Oct 14 2017,Waived by Milwaukee (MIL)				
Gary Payton II, PG,http://www.spotrac.com/redirect/player/20272/,MIL,Oct 14 2017,Waived by Milwaukee (MIL)				
Brandon Rush, SG,http://www.spotrac.com/redirect/player/6114/,MIL,Oct 14 2017,Waived by Milwaukee (MIL)				
Gerald Green, SG,http://www.spotrac.com/redirect/player/6100/,MIL,Oct 14 2017,Waived by Milwaukee (MIL)				
Xavier Munford, PG,http://www.spotrac.com/redirect/player/18837/,MIL,Oct 12 2017,Waived by Milwaukee (MIL)				
Kendall Marshall, PG,http://www.spotrac.com/redirect/player/10821/,MIL,Oct 8 2017,Waived by Milwaukee (MIL)				
James Young, SG,http://www.spotrac.com/redirect/player/15369/,MIL,Oct 5 2017,Waived by Milwaukee (MIL)				
Xavier Munford, PG,http://www.spotrac.com/redirect/player/18837/,MIL,Oct 5 2017,Signed a contract with Milwaukee (MIL)				
Joel Anthony, C,http://www.spotrac.com/redirect/player/2543/,MIL,Sep 24 2017,Signed a contract with Milwaukee (MIL)				
